MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID
f003617_66351,128.6131513,35.8796553,2023-06-24 09:15,f_f003617
f003617_66351,128.6131513,35.8796553,2023-06-24 09:16,f_f003617
f003617_66351,128.6131513,35.8796553,2023-06-24 09:16,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:16,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:17,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:17,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:18,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:18,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:19,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:19,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:20,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:20,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:21,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:21,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:21,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:22,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:22,f_f003617
f003617_66351,128.6131733,35.8800111,2023-06-24 09:23,f_f003617
f003617_66351,128.6129778,35.8803125,2023-06-24 09:23,f_f003617
f003617_66351,128.6141988,35.8804043,2023-06-24 09:24,f_f003617
f003617_66351,128.6150364,35.8792426,2023-06-24 09:24,f_f003617
f003617_66351,128.615926,35.8776532,2023-06-24 09:25,f_f003617
f003617_66351,128.6170883,35.8756564,2023-06-24 09:25,f_f003617
f003617_66351,128.6192945,35.8749953,2023-06-24 09:26,f_f003617
f003617_66351,128.6222362,35.8756884,2023-06-24 09:26,f_f003617
f003617_66351,128.6222362,35.8756884,2023-06-24 09:27,f_f003617
f003617_66351,128.6222362,35.8756884,2023-06-24 09:27,f_f003617
