MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID
g000007_900023,128.8072072,35.2058972,2023-04-28 22:03,g_g000007
g000007_900023,128.8079538,35.2051755,2023-04-28 22:04,g_g000007
g000007_900023,128.8095067,35.2035586,2023-04-28 22:05,g_g000007
g000007_900023,128.8110653,35.2024486,2023-04-28 22:06,g_g000007
g000007_900023,128.8127187,35.2009209,2023-04-28 22:08,g_g000007
g000007_900023,128.8143826,35.2004085,2023-04-28 22:09,g_g000007
g000007_900023,128.8143826,35.2004085,2023-04-28 22:10,g_g000007
g000007_900023,128.8143826,35.2004085,2023-04-28 22:11,g_g000007
g000007_900023,128.8090549,35.1979952,2023-04-28 22:12,g_g000007
g000007_900023,128.8137488,35.1948537,2023-04-28 22:13,g_g000007
g000007_900023,128.8258328,35.1766627,2023-04-28 22:15,g_g000007
g000007_900023,128.8551122,35.1784941,2023-04-28 22:17,g_g000007
g000007_900023,128.8841821,35.1659432,2023-04-28 22:18,g_g000007
g000007_900023,128.9111835,35.1628625,2023-04-28 22:20,g_g000007
g000007_900023,128.927896,35.1599924,2023-04-28 22:21,g_g000007
g000007_900023,128.9449732,35.1571498,2023-04-28 22:22,g_g000007
g000007_900023,128.9613083,35.1543638,2023-04-28 22:23,g_g000007
g000007_900023,128.9613083,35.1543638,2023-04-28 22:25,g_g000007
g000007_900023,128.9613083,35.1543638,2023-04-28 22:26,g_g000007
g000007_900023,128.9724331,35.1521036,2023-04-28 22:27,g_g000007
g000007_900023,128.9751709,35.1605043,2023-04-28 22:27,g_g000007
g000007_900023,128.9751709,35.1605043,2023-04-28 22:28,g_g000007
g000007_900023,128.9812886,35.1626911,2023-04-28 22:29,g_g000007
g000007_900023,128.9812886,35.1626911,2023-04-28 22:30,g_g000007
g000007_900023,128.9821782,35.1631271,2023-04-28 22:31,g_g000007
g000007_900023,128.9821782,35.1631271,2023-04-28 22:32,g_g000007
g000007_900023,128.9821782,35.1631271,2023-04-28 22:33,g_g000007
g000007_900023,128.9831902,35.1635242,2023-04-28 22:34,g_g000007
