TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
f_f012678,식재료,0,4,,지에스더프레쉬 파주청암점,산내마을1단지 제상가동101-104호,,,,,1,4480,,4148011700
f_f012727,기차표,1,2,3148210024,한국철도공사 ,대전 동구 중앙로 240,대전 동구 소제동 293-74,3164033,3011011300,2023-08-19 23:05,1,12700,기차표,
f_f012740,서핑교육 서핑체험 보드대여 수트대여 관광버스 패키지상품,1,1,,바루서프 강릉,강원특별자치도 강릉시 옥계면 헌화로 241-2,강원특별자치도 강릉시 옥계면 금진리 330,3220051,5115035029,2023-08-26 00:00,1,88000,강습+보드&슈트렌탈+프립왕복버스,
f_f012757,왕복 시외버스 표,1,1,1048183559,티머니GO,서울 중구 후암로 110,서울 중구 남대문로5가 581,3101024,1114011800,2023-09-09 19:43,1,15800,버스비,
f_f012776,아르떼 뮤지엄 네이버 예약,1,2,2068689631,(주)엘에스컴퍼니,제주특별자치도 제주시 청사로 11,제주특별자치도 제주시 도남동 573-2,3349193,5011012900,2023-08-30 14:17,1,17000,[강릉]아르떼뮤지엄 입장권 ,
f_f012970,해변열차,0,1,,해운대블루라인파크,부산 해운대구 달맞이길62번길 13,,,,,5,12000,,2635010600
f_f012980,고기 야채 순ㆍ,1,4,6248700414,주식회사 와이식자재마트,전북 남원시 서문로 28-5,,3271047,4519010800,2023-08-25 22:05,1,31680,아이존밥이보약수저세트 10SET;샘표)청양고추와홍고추로고기맛살;카프리(병);진로이즈백PET;농심) 백산수 2L,
f_f012980,고기 야채 순ㆍ,2,4,4118602518,초원물류,전북 남원시 서문로 32,전북 남원시 왕정동 140-14,3271047,4519010800,2023-08-26 00:00,1,42080,적상추;깻잎;청량고추;팽이버섯;한돈 목살 구이용,
f_f012980,고기 야채 순ㆍ,3,4,8648601673,주식회사 백비에스,대구 수성구 지범로 165,대구 수성구 지산동 1276-11,3146024,2726011200,2023-08-23 11:44,1,33800,캠핑음식 요리 닭꼬치 파닭 염통 모듬 수제꼬치 구이 12종,
f_f012992,휴대용 튜브용기; 가글; 블루원 입장권,0,2,,다이소; 티몬(인터넷),,,,,,1,84700,,4729025621
f_f012993,출발 전 취식할 간단한 음식,1,1,6098537112,세븐일레븐,경남 창원시 의창구 반계로 98,경남 창원시 의창구 팔용동 122,3327019,4812112900,2023-08-28 11:29,1,3700,남양)초코에몽;롯데)NEW참치김밥,
f_f013016,요시고 사진전 티켓,1,1,,요시고 사진전-부산,부산 부산진구 서면로 39,부산 부산진구 부전동 521-1,3129025,2623010300,2023-08-28 00:00,1,15000,요시고 사진전 입장권 ,
