COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,f_f000440,2,2,2,1
1,f_f000441,1,1,5,1
3,f_f000441,2,1,1,1
2,f_f000441,2,1,2,1
2,f_f000442,2,1,2,1
1,f_f000442,3,2,8,1
2,f_f000444,2,2,1,1
1,f_f000444,1,1,5,1
3,f_f000444,2,1,1,1
1,f_f000446,8,1,3,1
3,f_f000447,2,1,2,1
2,f_f000447,2,2,2,1
1,f_f000447,1,1,5,1
1,f_f000448,7,2,4,1
1,f_f000452,1,1,6,1
2,f_f000452,2,2,1,1
1,f_f000456,7,2,4,1
3,f_f000456,7,2,3,1
2,f_f000456,7,2,3,1
2,f_f000459,5,2,5,1
1,f_f000459,2,2,1,1
3,f_f000459,6,1,1,1
1,f_f000460,2,1,1,1
3,f_f000460,11,1,1,3
2,f_f000460,7,2,5,3
2,f_f000463,2,1,2,1
4,f_f000463,2,2,1,1
1,f_f000463,1,1,5,1
3,f_f000463,2,1,1,1
2,f_f000467,2,1,1,1
1,f_f000467,1,1,5,1
2,f_f000472,2,2,1,1
1,f_f000472,1,1,5,1
1,f_f000474,8,2,3,1
1,f_f000476,7,2,3,3
1,f_f000479,1,1,5,1
3,f_f000479,3,2,7,1
2,f_f000479,3,1,7,1
1,f_f000481,2,1,2,1
1,f_f000486,8,1,3,1
1,f_f000488,1,1,6,1
1,f_f000495,8,1,3,1
1,f_f000499,1,1,5,1
1,f_f000502,7,2,4,3
1,f_f000503,1,1,5,1
3,f_f000503,2,2,1,1
2,f_f000503,2,1,1,1
1,f_f000504,7,2,5,1
2,f_f000507,3,2,7,1
1,f_f000507,3,1,7,1
1,f_f000517,1,2,4,1
2,f_f000517,2,2,1,1
1,f_f000526,1,2,5,1
3,f_f000526,2,1,1,1
2,f_f000526,2,2,2,1
1,f_f000529,3,2,6,1
1,f_f000540,1,1,4,1
2,f_f000540,2,1,2,1
1,f_f000545,1,1,5,1
3,f_f000545,2,1,2,1
2,f_f000545,2,2,2,1
1,f_f000557,1,1,5,1
3,f_f000557,2,1,2,1
2,f_f000557,2,2,2,1
1,f_f000565,8,1,3,1
1,f_f000566,1,2,5,1
3,f_f000566,2,2,2,1
2,f_f000566,2,2,2,1
2,f_f000567,2,2,1,1
1,f_f000567,1,1,5,1
3,f_f000567,2,2,1,1
1,f_f000570,8,2,4,1
6,f_f000573,7,2,4,1
1,f_f000573,7,1,3,1
3,f_f000573,7,1,4,1
5,f_f000573,7,2,3,1
7,f_f000573,7,2,4,1
2,f_f000573,7,1,3,1
4,f_f000573,7,2,3,1
1,f_f000576,10,2,6,3
3,f_f000576,10,2,5,3
2,f_f000576,10,2,5,3
4,f_f000576,10,2,5,1
2,f_f000578,2,2,1,1
1,f_f000578,1,2,4,1
3,f_f000578,3,2,6,1
1,f_f000581,1,1,5,1
3,f_f000581,2,1,1,1
2,f_f000581,2,1,1,1
1,f_f000582,5,2,3,1
1,f_f000583,8,1,4,1
1,f_f000592,1,1,7,1
2,f_f000592,2,2,4,1
1,f_f000593,1,1,5,1
2,f_f000593,2,2,2,1
1,f_f000595,1,1,5,1
3,f_f000595,2,2,2,1
2,f_f000595,2,2,2,1
1,f_f000599,6,2,3,1
1,f_f000600,3,1,7,3
3,f_f000600,5,1,5,1
5,f_f000600,6,2,1,1
2,f_f000600,3,2,7,3
4,f_f000600,6,2,5,1
6,f_f000600,6,1,1,1
1,f_f000601,7,2,3,1
2,f_f000603,3,2,6,1
1,f_f000603,3,1,7,1
1,f_f000605,2,2,1,1
1,f_f000606,1,1,5,1
3,f_f000606,2,2,1,1
2,f_f000606,2,1,2,1
2,f_f000608,2,2,3,1
1,f_f000608,2,2,3,1
2,f_f000612,2,2,1,1
1,f_f000612,1,2,4,1
3,f_f000612,2,2,1,1
1,f_f000618,1,1,5,1
2,f_f000622,2,1,2,1
1,f_f000622,1,2,5,1
3,f_f000622,2,2,1,1
1,f_f000624,8,1,4,1
1,f_f000626,1,2,5,1
1,f_f000633,8,2,4,1
7,f_f000634,6,1,2,1
2,f_f000634,3,2,6,1
4,f_f000634,4,2,8,1
6,f_f000634,6,2,6,1
1,f_f000634,3,1,6,1
3,f_f000634,4,1,8,1
5,f_f000634,6,1,6,1
1,f_f000635,7,2,5,1
2,f_f000642,3,1,7,3
1,f_f000642,2,2,1,1
3,f_f000642,3,2,7,3
1,f_f000643,7,2,5,3
2,f_f000643,7,2,5,3
1,f_f000645,7,2,4,1
3,f_f000645,7,2,4,1
2,f_f000645,7,2,4,1
3,f_f000646,2,2,1,1
2,f_f000646,2,2,2,1
1,f_f000646,1,2,4,1
2,f_f000654,2,2,1,1
1,f_f000654,1,1,5,1
1,f_f000658,1,1,5,1
3,f_f000658,3,2,7,1
5,f_f000658,5,2,5,2
7,f_f000658,11,1,5,2
9,f_f000658,11,1,1,2
11,f_f000658,11,1,1,2
2,f_f000658,3,1,8,1
4,f_f000658,5,2,5,2
6,f_f000658,11,1,5,2
8,f_f000658,11,2,2,2
10,f_f000658,11,1,1,2
1,f_f000659,5,2,4,1
3,f_f000659,3,2,6,1
5,f_f000659,6,2,6,1
7,f_f000659,11,1,6,1
2,f_f000659,6,2,3,1
4,f_f000659,6,2,6,1
6,f_f000659,6,2,7,1
2,f_f000663,2,2,1,1
1,f_f000663,1,1,4,1
3,f_f000663,2,2,1,1
1,f_f000668,1,2,4,1
3,f_f000668,3,2,7,1
2,f_f000668,3,1,7,1
1,f_f000675,3,2,6,1
1,f_f000677,1,1,5,1
3,f_f000677,2,2,1,1
2,f_f000677,2,2,1,1
1,f_f000684,8,1,4,1
1,f_f000685,1,1,5,1
2,f_f000685,2,1,1,1
1,f_f000686,3,2,7,1
1,f_f000692,7,2,6,1
2,f_f000692,7,2,6,1
1,f_f000693,9,2,4,1
1,f_f000696,7,2,4,1
2,f_f000696,11,2,1,1
1,f_f000697,3,1,7,1
2,f_f000697,3,2,7,1
1,f_f000699,1,2,5,1
3,f_f000699,2,1,1,1
5,f_f000699,6,2,7,3
7,f_f000699,6,2,4,3
2,f_f000699,2,1,1,1
4,f_f000699,6,1,7,3
6,f_f000699,6,1,4,3
2,f_f000704,2,2,1,1
1,f_f000704,1,1,4,1
2,f_f000707,2,1,2,1
4,f_f000707,2,2,1,1
1,f_f000707,1,2,5,1
3,f_f000707,2,2,2,1
1,f_f000708,1,1,4,1
3,f_f000708,3,1,7,1
2,f_f000708,2,1,1,1
4,f_f000708,3,2,7,1
1,f_f000709,7,2,4,3
2,f_f000709,7,2,4,3
1,f_f000717,1,2,6,1
4,f_f000720,2,1,1,1
1,f_f000720,1,1,5,1
3,f_f000720,2,1,2,1
2,f_f000720,2,1,2,1
2,f_f000721,11,1,2,3
1,f_f000721,7,2,5,3
1,f_f000723,8,1,4,1
1,f_f000724,1,1,5,1
2,f_f000724,2,2,2,1
1,f_f000726,3,2,6,1
2,f_f000731,5,2,5,1
1,f_f000731,5,2,6,1
3,f_f000731,6,1,6,1
1,f_f000734,7,1,6,3
2,f_f000735,7,2,4,1
1,f_f000735,7,2,4,1
3,f_f000735,7,2,4,1
1,f_f000736,8,1,4,1
1,f_f000738,1,2,7,1
2,f_f000739,2,2,2,1
1,f_f000739,1,1,5,1
3,f_f000739,2,2,1,1
1,f_f000741,1,2,5,1
3,f_f000741,2,2,1,1
2,f_f000741,2,2,2,1
2,f_f000746,7,1,4,1
4,f_f000746,7,2,4,1
1,f_f000746,1,2,4,1
3,f_f000746,7,2,4,1
1,f_f000747,8,2,3,1
1,f_f000748,1,2,5,1
3,f_f000748,2,1,2,1
2,f_f000748,2,1,2,1
2,f_f000749,2,1,2,1
1,f_f000749,1,1,5,1
3,f_f000749,2,2,1,1
2,f_f000751,2,2,1,1
1,f_f000751,1,1,5,1
3,f_f000751,2,2,1,1
1,f_f000754,2,2,2,1
1,f_f000755,8,2,4,1
1,f_f000757,8,1,4,1
1,f_f000760,1,2,4,1
2,f_f000762,2,2,3,1
1,f_f000762,1,1,6,1
3,f_f000762,2,2,3,1
1,f_f000769,8,1,3,3
1,f_f000770,8,2,4,1
1,f_f000776,8,2,3,1
1,f_f000778,8,1,4,3
1,f_f000779,3,2,6,1
1,f_f000783,1,1,5,1
1,f_f000787,3,2,7,1
2,f_f000789,2,1,1,1
1,f_f000789,1,2,5,1
2,f_f000792,2,1,1,1
1,f_f000792,1,1,4,1
3,f_f000792,2,1,1,1
2,f_f000793,2,1,1,1
1,f_f000793,1,2,4,1
1,f_f000797,1,1,4,1
2,f_f000797,2,2,1,1
1,f_f000799,1,2,5,1
2,f_f000799,2,1,1,1
1,f_f000801,3,2,7,1
2,f_f000802,2,1,1,1
1,f_f000802,1,1,5,1
1,f_f000805,1,1,5,1
1,f_f000806,8,1,4,1
3,f_f000813,7,2,5,1
5,f_f000813,7,2,5,1
2,f_f000813,7,2,5,1
4,f_f000813,7,2,5,1
1,f_f000813,7,2,5,1
2,f_f000816,7,1,3,1
1,f_f000816,8,1,3,1
3,f_f000816,7,2,3,1
1,f_f000817,1,2,5,1
2,f_f000817,2,2,1,1
1,f_f000818,7,2,3,3
2,f_f000820,2,1,2,1
1,f_f000820,1,1,5,1
3,f_f000820,2,2,2,1
1,f_f000822,7,1,3,1
1,f_f000825,7,2,3,1
2,f_f000825,7,2,3,1
1,f_f000826,1,1,4,1
2,f_f000826,2,2,1,1
1,f_f000827,1,1,7,1
2,f_f000827,2,2,3,1
1,f_f000828,10,1,6,1
3,f_f000828,10,1,6,1
2,f_f000828,10,2,6,1
4,f_f000828,10,1,5,1
1,f_f000834,1,2,4,1
2,f_f000834,2,1,1,1
1,f_f000839,1,1,4,1
2,f_f000839,2,1,1,1
2,f_f000842,2,1,2,1
1,f_f000842,1,1,5,1
3,f_f000842,2,1,2,1
1,f_f000843,7,2,8,1
3,f_f000843,7,2,8,1
2,f_f000843,7,2,8,1
1,f_f000845,8,1,4,1
2,f_f000848,2,2,1,1
1,f_f000848,1,2,5,1
2,f_f000855,2,2,3,1
1,f_f000855,1,1,6,1
3,f_f000855,2,1,3,1
1,f_f000859,8,1,4,1
2,f_f000864,7,2,3,1
1,f_f000864,7,2,3,1
1,f_f000873,1,1,1,1
1,f_f000874,7,1,3,1
1,f_f000875,3,1,6,1
3,f_f000875,4,2,8,1
2,f_f000875,3,2,6,1
2,f_f000876,7,2,6,3
1,f_f000876,7,2,6,1
2,f_f000877,2,2,4,3
1,f_f000877,1,1,7,1
1,f_f000880,1,1,4,1
1,f_f000881,8,1,4,1
1,f_f000885,8,1,3,3
1,f_f000887,3,1,7,3
3,f_f000887,5,2,4,3
5,f_f000887,6,2,1,3
7,f_f000887,6,1,7,3
9,f_f000887,6,2,4,3
2,f_f000887,3,2,6,3
4,f_f000887,6,1,4,3
6,f_f000887,6,2,8,3
8,f_f000887,6,1,5,1
2,f_f000888,2,2,1,1
1,f_f000888,2,1,1,1
3,f_f000888,4,2,7,1
1,f_f000890,8,2,4,1
1,f_f000893,8,1,4,1
1,f_f000894,5,1,3,1
1,f_f000896,1,1,5,1
1,f_f000900,3,2,7,1
2,f_f000900,5,2,5,1
2,f_f000903,2,2,2,1
1,f_f000903,3,2,7,1
3,f_f000903,3,2,2,1
1,f_f000904,3,2,6,1
3,f_f000904,6,2,6,1
2,f_f000904,5,1,3,1
1,f_f000908,8,1,4,1
2,f_f000912,2,1,1,1
4,f_f000912,3,2,7,1
1,f_f000912,1,2,5,1
3,f_f000912,3,1,8,1
1,f_f000913,8,1,3,1
1,f_f000914,8,1,4,1
1,f_f000916,8,2,4,1
1,f_f000918,7,2,4,1
3,f_f000918,7,2,4,3
2,f_f000918,7,2,4,1
2,f_f000926,2,2,2,1
1,f_f000926,1,1,5,1
3,f_f000926,2,1,2,1
2,f_f000927,2,1,2,1
1,f_f000927,1,1,5,1
3,f_f000927,2,1,1,1
1,f_f000928,1,2,4,1
1,f_f000932,3,1,6,1
3,f_f000932,5,2,3,1
2,f_f000932,3,2,6,1
1,f_f000936,8,1,3,1
1,f_f000943,1,2,6,1
1,f_f000944,1,1,4,1
2,f_f000945,2,2,1,1
1,f_f000945,1,2,4,1
2,f_f000947,2,1,1,1
1,f_f000947,1,2,4,1
3,f_f000947,2,2,1,1
1,f_f000951,7,2,3,1
1,f_f000954,8,2,3,1
3,f_f000956,2,2,1,1
2,f_f000956,2,1,1,1
1,f_f000956,1,2,4,1
2,f_f000958,2,2,1,1
1,f_f000958,1,1,4,1
1,f_f000960,1,1,4,1
3,f_f000960,3,2,6,1
2,f_f000960,3,1,6,1
2,f_f000963,2,1,1,1
1,f_f000963,1,1,4,1
2,f_f000970,2,2,1,1
1,f_f000970,1,1,4,1
3,f_f000970,2,2,1,1
1,f_f000971,1,1,4,1
2,f_f000971,2,1,1,1
2,f_f000972,5,2,6,1
1,f_f000972,3,2,8,1
3,f_f000972,5,2,5,1
1,f_f000974,1,1,4,1
3,f_f000974,2,1,1,1
2,f_f000974,2,2,1,1
2,f_f000976,2,1,2,1
1,f_f000976,1,1,5,1
3,f_f000976,2,2,2,1
1,f_f000977,1,2,4,1
3,f_f000977,2,1,2,1
2,f_f000977,2,2,2,1
4,f_f000977,3,2,7,3
1,f_f000981,1,2,4,1
3,f_f000981,2,2,1,1
2,f_f000981,2,1,1,1
1,f_f000994,7,1,4,3
1,f_f000995,1,2,4,1
3,f_f000995,2,1,1,1
2,f_f000995,2,2,1,1
2,f_f000997,2,1,1,1
1,f_f000997,1,1,4,1
1,f_f000998,8,1,4,1
2,f_f001004,2,1,1,1
1,f_f001004,1,1,4,1
3,f_f001004,2,2,1,1
1,f_f001011,1,1,5,1
2,f_f001011,2,2,1,1
1,f_f001012,1,2,5,1
2,f_f001013,7,1,5,3
1,f_f001013,1,1,5,1
3,f_f001013,7,2,5,3
1,f_f001014,8,1,4,1
1,f_f001019,1,2,4,1
3,f_f001019,2,1,1,1
2,f_f001019,2,2,1,1
1,f_f001024,7,2,4,1
2,f_f001027,7,2,7,1
